job_index,original_task_id,instance_id,expected_terminal_action,repairability,persona_level,num_blockers,required_modes,agent_modes,mode_match_exact,mode_matched_candidate_count,path_agent_ids,route_labels,lane_sequence,leaf_type,route_preference_score,path_base_cost_sum,oracle_action,final_action,terminal_cost,raw_terminal_penalty,raw_outcome_penalty,raw_policy_penalty,raw_reasoning_cost_component,raw_path_cost_component,raw_total_cost,exact_match,subset_clean,subset_mismatch,policy_clean,policy_violation_count,clear_success,auxiliary_success,strict_clean,selected_blocker_ids,deferred_blocker_ids,prompt_tokens_total,completion_tokens_total,total_tokens_total,llm_call_count,json_retry_count,stage_llm_calls,stage_json_retries,policy_action_violation,policy_communication_violation,stage5_executed_tool_names,decision,delete_reasons,keep_basis
10,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:None],telecom_mms_task_mms_issueairplane_mode_on__bad_network_preference__bad_wifi_calling__break_apn_mms_setting__break_app_sms_permission__data_mode_off__data_usage_exceeded__unseat_sim_cardPERSONA_None,repair_subset,partially_repairable,None,8,deep/deep/deep/deep/deep,deep/deep/deep/deep/deep,True,8,"[""stage1_n3__from__root__c03"", ""stage2_n1__from__n0003__c01"", ""stage3_n2__from__n0012__c02"", ""stage4_n1__from__n0042__c01"", ""stage5_n2__from__n0121__c02""]",target_stage1_handoff > target_stage2_router > target_stage3_roaming > target_stage4_repair > target_stage5_decision,target_specialist/target_specialist/target_specialist/target_specialist/target_specialist,shared,15.25,0.76,repair_subset,transfer,18.5,18.5,16.5,2.0,5.1612,0.07600000000000001,23.7372,False,False,True,False,1,False,False,False,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission"", ""data_usage_exceeded""]",53484.0,1809.0,55293.0,15,0,"[4, 4, 2, 2, 3]","[0, 0, 0, 0, 0]",True,False,"[""can_send_mms"", ""check_network_status"", ""check_apn_settings"", ""check_sim_status"", ""check_app_permissions"", ""check_network_mode_preference"", ""check_wifi_calling_status"", ""run_speed_test""]",delete,terminal_cost_gt_2;clear_success_false;repair_task_subset_clean_false,
11,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],telecom_mms_task_mms_issueairplane_mode_on__bad_network_preference__bad_wifi_calling__break_apn_mms_setting__break_app_storage_permission__data_mode_off__data_usage_exceeded__unseat_sim_card__user_abroad_roaming_disabled_onPERSONA_Easy,repair_subset,partially_repairable,Easy,9,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,True,56,"[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n2__from__n0006__c02"", ""stage4_n1__from__n0024__c01"", ""stage5_n1__from__n0075__c01""]",general_stage1_intake > target_stage2_router > target_stage3_roaming > target_stage4_repair > target_stage5_verify,general/target_specialist/target_specialist/target_specialist/target_specialist,shared,13.25,0.752,repair_subset,transfer,18.5,18.5,16.5,2.0,4.95431,0.0752,23.52951,False,False,True,False,1,False,False,False,[],"[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission"", ""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",51226.0,1765.0,52991.0,13,0,"[2, 4, 2, 2, 3]","[0, 0, 0, 0, 0]",True,False,"[""can_send_mms"", ""check_network_status"", ""check_apn_settings"", ""check_sim_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""check_network_mode_preference"", ""run_speed_test""]",delete,terminal_cost_gt_2;clear_success_false;repair_task_subset_clean_false,
12,[mms_issue]break_app_storage_permission[PERSONA:Easy],telecom_mms_task_mms_issuebreak_app_storage_permissionPERSONA_Easy,repair_all,repairable,Easy,1,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,1.5,1.5,1.5,0.0,2.778395,0.05310000000000001,4.331495,False,False,True,True,0,False,True,False,"[""bad_wifi_calling"", ""break_app_storage_permission""]",[],29771.0,729.0,30500.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",delete,clear_success_false;repair_task_subset_clean_false,
13,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],telecom_mms_task_mms_issueairplane_mode_on__bad_wifi_calling__break_app_sms_permissionPERSONA_None,repair_all,repairable,None,3,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,0.0,0.0,0.0,0.0,2.96344,0.05310000000000001,3.01654,True,True,False,True,0,True,True,True,"[""airplane_mode_on"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],31252.0,903.0,32155.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_network_status"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",keep,,mode_match_exact=1;terminal_cost<=2;clear_success=1;repair_task_subset_clean=1
14,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_both_permissions|data_usage_exceeded[PERSONA:Hard],telecom_mms_task_mms_issueairplane_mode_on__bad_network_preference__bad_wifi_calling__break_app_both_permissions__data_usage_exceededPERSONA_Hard,repair_subset,partially_repairable,Hard,5,deep/deep/deep/deep/deep,deep/deep/deep/deep/deep,True,8,"[""stage1_n3__from__root__c03"", ""stage2_n1__from__n0003__c01"", ""stage3_n2__from__n0012__c02"", ""stage4_n1__from__n0042__c01"", ""stage5_n2__from__n0121__c02""]",target_stage1_handoff > target_stage2_router > target_stage3_roaming > target_stage4_repair > target_stage5_decision,target_specialist/target_specialist/target_specialist/target_specialist/target_specialist,shared,15.25,0.76,repair_subset,repair_all,3.5,3.5,3.5,0.0,4.293095,0.07600000000000001,7.869095,False,False,True,True,0,False,True,False,"[""airplane_mode_on"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_app_both_permissions"", ""data_usage_exceeded""]",[],44599.0,1477.0,46076.0,14,0,"[4, 4, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_network_status"", ""check_network_mode_preference"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms"", ""get_details_by_id"", ""get_details_by_id""]",delete,terminal_cost_gt_2;clear_success_false;repair_task_subset_clean_false,
15,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_storage_permission|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:Easy],telecom_mms_task_mms_issueairplane_mode_on__bad_network_preference__bad_wifi_calling__break_app_storage_permission__data_mode_off__user_abroad_roaming_enabled_offPERSONA_Easy,repair_all,repairable,Easy,6,deep/fast/deep/deep/deep,deep/fast/deep/deep/deep,True,52,"[""stage1_n3__from__root__c03"", ""stage2_n2__from__n0003__c02"", ""stage3_n2__from__n0013__c01"", ""stage4_n1__from__n0043__c01"", ""stage5_n1__from__n0122__c01""]",target_stage1_handoff > general_stage2_core > target_stage3_roaming > target_stage4_repair > target_stage5_verify,target_specialist/general/target_specialist/target_specialist/target_specialist,shared,13.25,0.741,repair_all,transfer,14.5,14.5,14.5,0.0,4.295985,0.0741,18.870085,False,False,True,True,0,False,True,False,[],"[""airplane_mode_on"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_app_storage_permission""]",45021.0,1380.0,46401.0,13,0,"[4, 2, 2, 2, 3]","[0, 0, 0, 0, 0]",False,False,"[""can_send_mms"", ""check_network_status"", ""check_wifi_calling_status"", ""check_sim_status"", ""check_apn_settings"", ""check_network_mode_preference"", ""check_app_permissions""]",delete,terminal_cost_gt_2;clear_success_false;repair_task_subset_clean_false,
16,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],telecom_mms_task_mms_issueairplane_mode_on__bad_network_preference__bad_wifi_calling__break_apn_mms_setting__break_app_sms_permission__data_mode_off__data_usage_exceeded__user_abroad_roaming_disabled_onPERSONA_None,repair_subset,partially_repairable,None,8,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,True,56,"[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n2__from__n0006__c02"", ""stage4_n1__from__n0024__c01"", ""stage5_n1__from__n0075__c01""]",general_stage1_intake > target_stage2_router > target_stage3_roaming > target_stage4_repair > target_stage5_verify,general/target_specialist/target_specialist/target_specialist/target_specialist,shared,13.25,0.752,repair_subset,transfer,16.5,16.5,14.5,2.0,4.78584,0.0752,21.36104,False,False,True,False,1,False,False,False,[],"[""airplane_mode_on"", ""data_mode_off"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission"", ""user_abroad_roaming_disabled_on"", ""data_usage_exceeded""]",49504.0,1700.0,51204.0,13,0,"[2, 4, 2, 2, 3]","[0, 0, 0, 0, 0]",True,False,"[""can_send_mms"", ""check_network_status"", ""check_apn_settings"", ""check_app_permissions"", ""check_wifi_calling_status"", ""check_network_mode_preference"", ""check_sim_status"", ""run_speed_test""]",delete,terminal_cost_gt_2;clear_success_false;repair_task_subset_clean_false,
17,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],telecom_mms_task_mms_issueairplane_mode_on__bad_network_preference__bad_wifi_calling__break_apn_mms_setting__break_app_storage_permission__data_mode_off__data_usage_exceeded__unseat_sim_card__user_abroad_roaming_enabled_offPERSONA_Easy,repair_subset,partially_repairable,Easy,9,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,True,56,"[""stage1_n1__from__root__c01"", ""stage2_n1__from__n0001__c01"", ""stage3_n2__from__n0006__c02"", ""stage4_n1__from__n0024__c01"", ""stage5_n1__from__n0075__c01""]",general_stage1_intake > target_stage2_router > target_stage3_roaming > target_stage4_repair > target_stage5_verify,general/target_specialist/target_specialist/target_specialist/target_specialist,shared,13.25,0.752,repair_subset,repair_subset,14.0,14.0,12.0,2.0,5.232515,0.0752,19.307715,False,False,True,False,1,False,False,False,"[""bad_wifi_calling"", ""break_apn_mms_setting""]","[""airplane_mode_on"", ""unseat_sim_card"", ""data_mode_off"", ""user_abroad_roaming_enabled_off"", ""bad_network_preference"", ""break_app_storage_permission"", ""data_usage_exceeded""]",55183.0,1594.0,56777.0,13,0,"[2, 4, 2, 3, 2]","[0, 0, 0, 0, 0]",True,False,"[""check_network_status"", ""check_sim_status"", ""check_network_mode_preference"", ""check_apn_settings"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms"", ""get_details_by_id"", ""get_details_by_id""]",delete,terminal_cost_gt_2;clear_success_false;repair_task_subset_clean_false,
18,[mms_issue]bad_network_preference[PERSONA:None],telecom_mms_task_mms_issuebad_network_preferencePERSONA_None,repair_all,repairable,None,1,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,1.5,1.5,1.5,0.0,2.80075,0.05310000000000001,4.3538499999999996,False,False,True,True,0,False,True,False,"[""bad_network_preference"", ""bad_wifi_calling""]",[],29638.0,828.0,30466.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_network_mode_preference"", ""check_wifi_calling_status"", ""can_send_mms""]",delete,clear_success_false;repair_task_subset_clean_false,
19,[mms_issue]airplane_mode_on|bad_network_preference|break_app_sms_permission[PERSONA:Hard],telecom_mms_task_mms_issueairplane_mode_on__bad_network_preference__break_app_sms_permissionPERSONA_Hard,repair_all,repairable,Hard,3,fast/fast/fast/fast/fast,fast/fast/fast/fast/fast,True,5,"[""stage1_n4__from__root__c04"", ""stage2_n3__from__n0004__c03"", ""stage3_n4__from__n0017__c02"", ""stage4_n4__from__n0057__c03"", ""stage5_n4__from__n0160__c03""]",trap_stage1_intake > trap_stage2_router > trap_stage3_network > trap_stage4_execute > trap_stage5_terminal,trap/trap/trap/trap/trap,shared,10.25,0.531,repair_all,repair_all,1.5,1.5,1.5,0.0,3.138455,0.05310000000000001,4.691555,False,False,True,True,0,False,True,False,"[""airplane_mode_on"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_app_sms_permission""]",[],32807.0,1029.0,33836.0,10,0,"[2, 2, 2, 2, 2]","[0, 0, 0, 0, 0]",False,False,"[""check_network_status"", ""check_network_mode_preference"", ""check_wifi_calling_status"", ""check_app_permissions"", ""can_send_mms""]",delete,clear_success_false;repair_task_subset_clean_false,
