run,pattern,suffix,shared,n_high_terminal,terminal_mean,datasets,episodes,final_counts,cause_counts
probfloor0002,dfddf on fdddd,stage4_n3__from__n0044__c02 > stage5_n4__from__n0124__c04,True,1,17.0,13,88,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
probfloor0002,dfddf on fdddd,stage4_n3__from__n0049__c02 > stage5_n4__from__n0140__c04,True,1,23.5,9,56,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
probfloor0002,dfdfd on fdddd,stage4_n4__from__n0037__c03 > stage5_n1__from__n0108__c01,True,1,12.0,2,25,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
probfloor0002,dfdfd on fdddd,stage4_n4__from__n0040__c03 > stage5_n5__from__n0118__c04,False,1,18.5,36,74,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
probfloor0002,dffdd on fdddd,stage4_n3__from__n0048__c02 > stage5_n2__from__n0136__c02,True,1,19.0,13,58,{'repair_subset': 1},{'subset_mismatch_terminal_decision': 1}
probfloor0002,fdddd on fdddd,stage4_n1__from__n0023__c01 > stage5_n1__from__n0074__c01,True,1,17.0,13,38,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
probfloor0002,fdddd on fdddd,stage4_n1__from__n0050__c01 > stage5_n1__from__n0143__c01,True,1,22.5,10,57,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
probfloor0002,fdddd on fdddd,stage4_n2__from__n0064__c01 > stage5_n1__from__n0182__c01,True,1,22.5,10,27,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
probfloor0002,fdddd on fdddd,stage4_n2__from__n0068__c01 > stage5_n2__from__n0196__c02,True,1,10.0,2,45,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
probfloor0002,fdddd on fdddd,stage4_n2__from__n0071__c01 > stage5_n2__from__n0206__c02,True,1,22.5,10,67,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
probfloor0002,fddfd on fdddd,stage4_n4__from__n0070__c03 > stage5_n1__from__n0204__c01,True,1,13.0,13,28,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
probfloor0002,fdfdd on fdddd,stage4_n2__from__n0060__c01 > stage5_n2__from__n0168__c02,True,1,22.5,10,47,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
probfloor0002,ffddd on fdddd,stage4_n2__from__n0028__c01 > stage5_n2__from__n0083__c02,True,1,17.0,13,68,{'repair_subset': 1},{'subset_mismatch_terminal_decision': 1}
probfloor0002,ffddd on fdddd,stage4_n2__from__n0065__c01 > stage5_n2__from__n0186__c02,True,1,15.0,16,69,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
probfloor0002,ffddd on fdddd,stage4_n3__from__n0026__c02 > stage5_n2__from__n0078__c02,True,1,23.5,10,97,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
probfloor0002,ffddd on fdddd,stage4_n3__from__n0029__c02 > stage5_n3__from__n0088__c03,True,1,12.0,9,96,{'repair_subset': 1},{'subset_mismatch_terminal_decision': 1}
probfloor0002,ffddd on fdddd,stage4_n3__from__n0031__c02 > stage5_n3__from__n0094__c03,True,1,17.0,13,48,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
probfloor0002,ffddd on fdddd,stage4_n3__from__n0065__c02 > stage5_n1__from__n0187__c01,True,1,23.5,10,87,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
probfloor0002,ffddd on fdddd,stage4_n5__from__n0055__c04 > stage5_n2__from__n0155__c01,True,1,17.0,13,78,{'repair_subset': 1},{'subset_mismatch_terminal_decision': 1}
probfloor0002,ffddd on fdddd,stage4_n5__from__n0067__c04 > stage5_n2__from__n0195__c01,True,1,23.5,10,77,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
probfloor0002,ffddf on fdddd,stage4_n3__from__n0053__c02 > stage5_n4__from__n0147__c04,True,1,15.0,16,89,{'repair_subset': 1},{'subset_mismatch_with_missing_oracle_repair_tools': 1}
probfloor0002,fffdd on fdddd,stage4_n3__from__n0030__c02 > stage5_n3__from__n0090__c03,True,1,14.0,9,66,{'repair_subset': 1},{'subset_mismatch_terminal_decision': 1}
probfloor0002,fffdd on fdddd,stage4_n3__from__n0057__c02 > stage5_n1__from__n0159__c01,True,1,23.5,9,46,{'transfer': 1},{'over_transfer_on_local_oracle': 1}
