run,episode_index,dataset_index,oracle_action,final_action,transition,cause,terminal,total,pattern,pair,shared,missing_blockers,missing_tools,replay_tools,terminal_reasons,suffix,original_task_id
old,35,2,repair_all,repair_subset,repair_all_to_repair_subset,subset_mismatch_with_missing_oracle_repair_tools,10.0,15.0397,ddddd on fdddd,mostly_deep_vs_mostly_deep_required,True,airplane_mode_on|unseat_sim_card,reseat_sim_card|toggle_airplane_mode,set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,subset_mismatch_base_plus_linear|local_clear_failure_floor_10,stage4_n1__from__n0033__c01 > stage5_n2__from__n0098__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy]
old,36,9,repair_subset,transfer,local_to_transfer,over_transfer_on_local_oracle,22.5,27.308505,fdddf on fdddd,mostly_deep_vs_mostly_deep_required,True,airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card,grant_app_permission|reboot_device|reseat_sim_card|reset_apn_settings|set_network_mode_preference|toggle_airplane_mode|toggle_data|toggle_wifi_calling,,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12|invalid_local_transfer_floor_18,stage4_n3__from__n0068__c02 > stage5_n4__from__n0197__c04,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
old,37,10,repair_subset,transfer,local_to_transfer,over_transfer_on_local_oracle,23.5,28.660429999999998,dffdd on fdddd,mostly_deep_vs_mostly_deep_required,True,airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card,grant_app_permission|reboot_device|reseat_sim_card|reset_apn_settings|set_network_mode_preference|toggle_airplane_mode|toggle_data|toggle_wifi_calling,,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12|invalid_local_transfer_floor_18,stage4_n2__from__n0039__c01 > stage5_n1__from__n0112__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
old,38,13,repair_subset,repair_subset,matched_terminal_action,subset_mismatch_terminal_decision,19.0,23.780269999999998,ffddf on fdddd,mostly_fast_vs_mostly_deep_required,True,,,toggle_airplane_mode|reseat_sim_card|toggle_data|toggle_roaming|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission|grant_app_permission,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12|fast_path_on_deep_required_clear_failure_floor_14,stage4_n5__from__n0028__c04 > stage5_n4__from__n0086__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
old,39,16,repair_all,repair_subset,repair_all_to_repair_subset,subset_mismatch_with_missing_oracle_repair_tools,15.0,19.49655,fdddd on fdddd,mostly_deep_vs_mostly_deep_required,True,airplane_mode_on|bad_network_preference|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off,reseat_sim_card|set_network_mode_preference|toggle_airplane_mode|toggle_data|toggle_roaming,toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,subset_mismatch_base_plus_linear|local_clear_failure_floor_10,stage4_n1__from__n0024__c01 > stage5_n2__from__n0075__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
old,40,32,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,4.12545,ffdfd on fdddd,mostly_fast_vs_mostly_deep_required,True,,,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n4__from__n0031__c03 > stage5_n3__from__n0095__c02,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy]
old,41,33,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,3.66803,fdfdd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n3__from__n0060__c02 > stage5_n1__from__n0169__c01,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None]
old,42,34,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,3.18489,fdddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,toggle_roaming|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n1__from__n0051__c01 > stage5_n2__from__n0144__c02,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:Easy]
old,43,35,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,3.64654,ffddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,toggle_airplane_mode|toggle_roaming|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n2__from__n0053__c01 > stage5_n2__from__n0146__c02,[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|user_abroad_roaming_enabled_off[PERSONA:None]
old,44,36,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,3.6239199999999996,ffddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,reseat_sim_card|toggle_data|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n1__from__n0052__c01 > stage5_n2__from__n0145__c02,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:None]
old,45,2,repair_all,repair_subset,repair_all_to_repair_subset,subset_mismatch_with_missing_oracle_repair_tools,14.0,19.90844,fffff on fdddd,mostly_fast_vs_mostly_deep_required,True,break_apn_mms_setting|break_app_storage_permission,grant_app_permission|reboot_device|reset_apn_settings,toggle_airplane_mode|reseat_sim_card|set_network_mode_preference|toggle_wifi_calling,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12|fast_path_on_deep_required_clear_failure_floor_14,stage4_n4__from__n0054__c03 > stage5_n4__from__n0150__c03,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy]
old,46,9,repair_subset,repair_subset,matched_terminal_action,subset_mismatch_terminal_decision,12.0,18.1724,dfddf on fdddd,mostly_deep_vs_mostly_deep_required,True,,,toggle_airplane_mode|reseat_sim_card|toggle_data|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission|grant_app_permission,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12,stage4_n3__from__n0044__c02 > stage5_n4__from__n0124__c04,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
old,47,10,repair_subset,transfer,local_to_transfer,over_transfer_on_local_oracle,22.5,27.40839,ddddd on fdddd,mostly_deep_vs_mostly_deep_required,True,airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card,grant_app_permission|reboot_device|reseat_sim_card|reset_apn_settings|set_network_mode_preference|toggle_airplane_mode|toggle_data|toggle_wifi_calling,,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12|invalid_local_transfer_floor_18,stage4_n1__from__n0041__c01 > stage5_n2__from__n0120__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
old,48,13,repair_subset,repair_subset,matched_terminal_action,subset_mismatch_with_missing_oracle_repair_tools,15.0,20.770094999999998,ffdff on fdddd,mostly_fast_vs_mostly_deep_required,True,bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions,grant_app_permission|reboot_device|reset_apn_settings|set_network_mode_preference|toggle_wifi_calling,toggle_airplane_mode|reseat_sim_card|toggle_data|toggle_roaming,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12|fast_path_on_deep_required_clear_failure_floor_14,stage4_n4__from__n0055__c03 > stage5_n4__from__n0154__c03,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
old,49,16,repair_all,repair_subset,repair_all_to_repair_subset,subset_mismatch_with_missing_oracle_repair_tools,14.0,19.73834,fdffd on fdddd,mostly_fast_vs_mostly_deep_required,True,break_apn_mms_setting,reboot_device,toggle_airplane_mode|reseat_sim_card|toggle_data|toggle_roaming|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|grant_app_permission,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12|fast_path_on_deep_required_clear_failure_floor_14,stage4_n4__from__n0069__c03 > stage5_n1__from__n0200__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
old,50,32,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,4.463875000000001,fffdf on fdddd,mostly_fast_vs_mostly_deep_required,True,,,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n5__from__n0057__c04 > stage5_n4__from__n0161__c02,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy]
old,51,33,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,3.15353,fdddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n1__from__n0051__c01 > stage5_n2__from__n0144__c02,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None]
old,52,34,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,3.53864,fdddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,toggle_roaming|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n3__from__n0062__c02 > stage5_n1__from__n0177__c01,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:Easy]
old,53,35,repair_all,repair_subset,repair_all_to_repair_subset,subset_mismatch_with_missing_oracle_repair_tools,14.0,18.51849,fffdd on fdddd,mostly_fast_vs_mostly_deep_required,True,airplane_mode_on|user_abroad_roaming_enabled_off,toggle_airplane_mode|toggle_roaming,toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|fast_path_on_deep_required_clear_failure_floor_14,stage4_n3__from__n0030__c02 > stage5_n2__from__n0090__c02,[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|user_abroad_roaming_enabled_off[PERSONA:None]
old,54,36,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,3.69566,fdddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,reseat_sim_card|toggle_data|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n1__from__n0050__c01 > stage5_n2__from__n0143__c02,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:None]
old,55,2,repair_all,repair_subset,repair_all_to_repair_subset,subset_mismatch_with_missing_oracle_repair_tools,10.0,13.84921,ffddd on fdddd,mostly_deep_vs_mostly_deep_required,True,airplane_mode_on|unseat_sim_card,reseat_sim_card|toggle_airplane_mode,set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,subset_mismatch_base_plus_linear|local_clear_failure_floor_10,stage4_n1__from__n0052__c01 > stage5_n1__from__n0145__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy]
old,56,9,repair_subset,repair_subset,matched_terminal_action,policy_action_violation,6.0,11.09548,fdddf on fdddd,mostly_deep_vs_mostly_deep_required,True,,,toggle_airplane_mode|reseat_sim_card|toggle_data|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission|grant_app_permission,clear_but_aux_failure_floor_6,stage4_n3__from__n0062__c02 > stage5_n4__from__n0177__c04,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
old,57,10,repair_subset,transfer,local_to_transfer,over_transfer_on_local_oracle,22.5,26.669510000000002,fdddd on fdddd,mostly_deep_vs_mostly_deep_required,True,airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card,grant_app_permission|reboot_device|reseat_sim_card|reset_apn_settings|set_network_mode_preference|toggle_airplane_mode|toggle_data|toggle_wifi_calling,,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12|invalid_local_transfer_floor_18,stage4_n1__from__n0051__c01 > stage5_n2__from__n0144__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
old,58,13,repair_subset,repair_subset,matched_terminal_action,policy_action_violation,6.0,10.377265,fdfdd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,toggle_airplane_mode|reseat_sim_card|toggle_data|toggle_roaming|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission|grant_app_permission,clear_but_aux_failure_floor_6,stage4_n2__from__n0072__c01 > stage5_n2__from__n0208__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
old,59,16,repair_all,repair_subset,repair_all_to_repair_subset,subset_mismatch_with_missing_oracle_repair_tools,21.0,25.07823,ffffd on fdddd,mostly_fast_vs_mostly_deep_required,True,bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off,grant_app_permission|reboot_device|reseat_sim_card|reset_apn_settings|set_network_mode_preference|toggle_data|toggle_roaming|toggle_wifi_calling,toggle_airplane_mode,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12|fast_path_on_deep_required_clear_failure_floor_14,stage4_n4__from__n0057__c03 > stage5_n3__from__n0160__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
old,60,32,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,4.3570199999999994,dffdd on fdddd,mostly_deep_vs_mostly_deep_required,False,,,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n5__from__n0045__c04 > stage5_n5__from__n0128__c03,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy]
old,61,33,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,3.57565,fdddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,reseat_sim_card|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n2__from__n0059__c01 > stage5_n2__from__n0166__c02,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None]
old,62,34,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,4.736295,dffdd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,toggle_roaming|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n3__from__n0045__c02 > stage5_n3__from__n0126__c03,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:Easy]
old,63,35,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,5.61638,fdfff on fdddd,mostly_fast_vs_mostly_deep_required,True,,,toggle_airplane_mode|toggle_roaming|toggle_wifi_calling|reset_apn_settings|grant_app_permission|reboot_device,,stage4_n4__from__n0060__c03 > stage5_n4__from__n0170__c03,[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|user_abroad_roaming_enabled_off[PERSONA:None]
old,64,36,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,3.4907,fdddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,reseat_sim_card|toggle_data|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n3__from__n0059__c02 > stage5_n2__from__n0167__c02,[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:None]
old,65,2,repair_all,repair_subset,repair_all_to_repair_subset,subset_mismatch_with_missing_oracle_repair_tools,10.0,13.71302,fdddd on fdddd,mostly_deep_vs_mostly_deep_required,True,airplane_mode_on|unseat_sim_card,reseat_sim_card|toggle_airplane_mode,set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,subset_mismatch_base_plus_linear|local_clear_failure_floor_10,stage4_n1__from__n0051__c01 > stage5_n1__from__n0144__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy]
old,66,9,repair_subset,repair_subset,matched_terminal_action,subset_mismatch_with_missing_oracle_repair_tools,14.0,20.78316,dfdff on fdddd,mostly_fast_vs_mostly_deep_required,True,break_app_both_permissions,grant_app_permission,toggle_airplane_mode|reseat_sim_card|toggle_data|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12|fast_path_on_deep_required_clear_failure_floor_14,stage4_n4__from__n0049__c03 > stage5_n4__from__n0141__c03,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
old,67,10,repair_subset,transfer,local_to_transfer,over_transfer_on_local_oracle,22.5,27.188164999999998,fdfdd on fdddd,mostly_deep_vs_mostly_deep_required,True,airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card,grant_app_permission|reboot_device|reseat_sim_card|reset_apn_settings|set_network_mode_preference|toggle_airplane_mode|toggle_data|toggle_wifi_calling,,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12|invalid_local_transfer_floor_18,stage4_n2__from__n0060__c01 > stage5_n2__from__n0168__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
old,68,13,repair_subset,transfer,local_to_transfer,over_transfer_on_local_oracle,25.5,29.32982,fdddd on fdddd,mostly_deep_vs_mostly_deep_required,True,airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off,grant_app_permission|reboot_device|reseat_sim_card|reset_apn_settings|set_network_mode_preference|toggle_airplane_mode|toggle_data|toggle_roaming|toggle_wifi_calling,,subset_mismatch_base_plus_linear|local_clear_failure_floor_10|local_clear_and_aux_failure_floor_12|invalid_local_transfer_floor_18,stage4_n1__from__n0023__c01 > stage5_n2__from__n0074__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
old,69,16,repair_all,repair_all,matched_terminal_action,no_terminal_failure_or_low_penalty,0.0,5.02271,ddddd on fdddd,mostly_deep_vs_mostly_deep_required,True,,,toggle_airplane_mode|reseat_sim_card|toggle_data|toggle_roaming|set_network_mode_preference|toggle_wifi_calling|reset_apn_settings|reboot_device|grant_app_permission,,stage4_n1__from__n0032__c01 > stage5_n2__from__n0097__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
