ep,rep,pos,dataset,task,oracle,s1_final,s0_final,s1_pen,s0_pen,delta,s1_clear,s0_clear,s1_aux,s0_aux,s1_strict,s0_strict,s1_pair,s0_pair,s1_path,s0_path,path_changed,s1_shared,s0_shared,s1_reasons,s0_reasons,flag_reasons,s1_obs_loss,s0_obs_loss,s1_sel_prob,s0_sel_prob,s1_root,s0_root
47,4,7,10,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],repair_subset,transfer,repair_subset,22.5,14.0,8.5,False,False,False,False,False,False,mostly_deep_vs_mostly_deep_required,mostly_fast_vs_mostly_deep_required,stage1_n3__from__root__c03/stage2_n1__from__n0003__c01/stage3_n1__from__n0012__c01/stage4_n1__from__n0041__c01/stage5_n2__from__n0120__c02,stage1_n5__from__root__c05/stage2_n3__from__n0005__c01/stage3_n4__from__n0020__c02/stage4_n4__from__n0066__c03/stage5_n3__from__n0190__c02,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;invalid_local_transfer_floor_18,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;fast_path_on_deep_required_clear_failure_floor_14,penalty>=14;local->transfer;clear=false,0.7379749596122779,0.5298247172859452,0.01209495268807045,0.0040971089370299115,stage1_n3__from__root__c03,stage1_n5__from__root__c05
48,4,8,13,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],repair_subset,repair_subset,repair_subset,15.0,14.0,1.0,False,False,False,False,False,False,mostly_fast_vs_mostly_deep_required,mostly_fast_vs_mostly_deep_required,stage1_n4__from__root__c04/stage2_n2__from__n0004__c02/stage3_n5__from__n0016__c04/stage4_n4__from__n0055__c03/stage5_n4__from__n0154__c03,stage1_n1__from__root__c01/stage2_n3__from__n0001__c03/stage3_n5__from__n0008__c03/stage4_n4__from__n0031__c03/stage5_n5__from__n0095__c04,True,True,False,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;fast_path_on_deep_required_clear_failure_floor_14,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;fast_path_on_deep_required_clear_failure_floor_14,penalty>=14;clear=false,0.5592378836833601,0.521005788906839,0.003906625942357132,0.0023503209248392997,stage1_n4__from__root__c04,stage1_n1__from__root__c01
49,4,9,16,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],repair_all,repair_subset,repair_all,14.0,0.0,14.0,False,True,False,True,False,True,mostly_fast_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n5__from__root__c05/stage2_n4__from__n0005__c02/stage3_n4__from__n0021__c02/stage4_n4__from__n0069__c03/stage5_n1__from__n0200__c01,stage1_n4__from__root__c04/stage2_n1__from__n0004__c01/stage3_n1__from__n0015__c01/stage4_n1__from__n0050__c01/stage5_n1__from__n0143__c01,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;fast_path_on_deep_required_clear_failure_floor_14,,penalty>=14;clear=false,0.5314577275175013,0.12999003769520734,0.0012366117835315026,0.06517848942772686,stage1_n5__from__root__c05,stage1_n4__from__root__c04
53,5,3,35,[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|user_abroad_roaming_enabled_off[PERSONA:None],repair_all,repair_subset,repair_all,14.0,0.0,14.0,False,True,True,True,False,True,mostly_fast_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n1__from__root__c01/stage2_n3__from__n0001__c03/stage3_n4__from__n0008__c02/stage4_n3__from__n0030__c02/stage5_n2__from__n0090__c02,stage1_n4__from__root__c04/stage2_n4__from__n0004__c04/stage3_n5__from__n0018__c03/stage4_n2__from__n0061__c01/stage5_n2__from__n0172__c02,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;fast_path_on_deep_required_clear_failure_floor_14,,penalty>=14;clear=false,0.49861308562197093,0.1012619816908993,0.003166710900679345,0.006313103507289548,stage1_n1__from__root__c01,stage1_n4__from__root__c04
55,5,5,2,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],repair_all,repair_subset,repair_subset,10.0,14.0,-4.0,False,False,True,False,False,False,mostly_deep_vs_mostly_deep_required,mostly_fast_vs_mostly_deep_required,stage1_n4__from__root__c04/stage2_n2__from__n0004__c02/stage3_n2__from__n0016__c01/stage4_n1__from__n0052__c01/stage5_n1__from__n0145__c01,stage1_n4__from__root__c04/stage2_n4__from__n0004__c04/stage3_n4__from__n0018__c02/stage4_n4__from__n0060__c03/stage5_n5__from__n0170__c04,True,True,False,subset_mismatch_base_plus_linear;local_clear_failure_floor_10,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;fast_path_on_deep_required_clear_failure_floor_14,clear=false,0.37289203015616584,0.5162780021540119,0.016822369614288867,0.0012986792304344335,stage1_n4__from__root__c04,stage1_n4__from__root__c04
57,5,7,10,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],repair_subset,transfer,repair_subset,22.5,6.0,16.5,False,True,False,False,False,False,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n4__from__root__c04/stage2_n1__from__n0004__c01/stage3_n2__from__n0015__c02/stage4_n1__from__n0051__c01/stage5_n2__from__n0144__c02,stage1_n5__from__root__c05/stage2_n4__from__n0005__c02/stage3_n4__from__n0021__c02/stage4_n2__from__n0069__c01/stage5_n1__from__n0198__c01,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;invalid_local_transfer_floor_18,clear_but_aux_failure_floor_6,penalty>=14;local->transfer;clear=false,0.7180805061927841,0.288010366182014,0.040703697951367614,0.002351017226042311,stage1_n4__from__root__c04,stage1_n5__from__root__c05
59,5,9,16,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],repair_all,repair_subset,repair_all,21.0,0.0,21.0,False,True,False,True,False,True,mostly_fast_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n4__from__root__c04/stage2_n3__from__n0004__c03/stage3_n4__from__n0017__c02/stage4_n4__from__n0057__c03/stage5_n3__from__n0160__c02,stage1_n2__from__root__c02/stage2_n2__from__n0002__c02/stage3_n5__from__n0010__c04/stage4_n2__from__n0037__c01/stage5_n1__from__n0106__c01,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;fast_path_on_deep_required_clear_failure_floor_14,,penalty>=14;clear=false,0.675235056542811,0.11777732902530964,0.004661356513608934,0.014093457352732108,stage1_n4__from__root__c04,stage1_n2__from__root__c02
65,6,5,2,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],repair_all,repair_subset,repair_all,10.0,0.0,10.0,False,True,True,True,False,True,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n4__from__root__c04/stage2_n1__from__n0004__c01/stage3_n2__from__n0015__c02/stage4_n1__from__n0051__c01/stage5_n1__from__n0144__c01,stage1_n2__from__root__c02/stage2_n1__from__n0002__c01/stage3_n2__from__n0009__c02/stage4_n1__from__n0033__c01/stage5_n1__from__n0098__c01,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10,,clear=false,0.3692250942380183,0.11282229402261712,0.013378483329994915,0.046931912842898424,stage1_n4__from__root__c04,stage1_n2__from__root__c02
66,6,6,9,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],repair_subset,repair_subset,transfer,14.0,22.5,-8.5,False,False,False,False,False,False,mostly_fast_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n3__from__root__c03/stage2_n3__from__n0003__c03/stage3_n5__from__n0014__c03/stage4_n4__from__n0049__c03/stage5_n4__from__n0141__c03,stage1_n3__from__root__c03/stage2_n1__from__n0003__c01/stage3_n1__from__n0012__c01/stage4_n1__from__n0041__c01/stage5_n1__from__n0120__c01,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;fast_path_on_deep_required_clear_failure_floor_14,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;invalid_local_transfer_floor_18,penalty>=14;clear=false,0.5595896607431341,0.7394655358104468,0.010173422058769713,0.09061826187381937,stage1_n3__from__root__c03,stage1_n3__from__root__c03
67,6,7,10,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],repair_subset,transfer,repair_subset,22.5,6.0,16.5,False,True,False,False,False,False,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n4__from__root__c04/stage2_n4__from__n0004__c04/stage3_n4__from__n0018__c02/stage4_n2__from__n0060__c01/stage5_n2__from__n0168__c02,stage1_n3__from__root__c03/stage2_n1__from__n0003__c01/stage3_n2__from__n0012__c02/stage4_n1__from__n0042__c01/stage5_n1__from__n0121__c01,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;invalid_local_transfer_floor_18,clear_but_aux_failure_floor_6,penalty>=14;local->transfer;clear=false,0.7320453688745288,0.29450511577813676,0.014681752950299668,0.07676894744510639,stage1_n4__from__root__c04,stage1_n3__from__root__c03
68,6,8,13,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],repair_subset,transfer,transfer,25.5,22.5,3.0,False,False,False,True,False,False,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n1__from__root__c01/stage2_n1__from__n0001__c01/stage3_n1__from__n0006__c01/stage4_n1__from__n0023__c01/stage5_n2__from__n0074__c02,stage1_n1__from__root__c01/stage2_n1__from__n0001__c01/stage3_n1__from__n0006__c01/stage4_n1__from__n0023__c01/stage5_n2__from__n0074__c02,False,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;invalid_local_transfer_floor_18,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;invalid_local_transfer_floor_18,penalty>=14;local->transfer;clear=false,0.789709746903608,0.7379235325794292,0.08088141198449152,0.0029228974538639575,stage1_n1__from__root__c01,stage1_n1__from__root__c01
75,7,5,2,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],repair_all,repair_subset,repair_all,10.0,0.0,10.0,False,True,True,True,False,True,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n4__from__root__c04/stage2_n5__from__n0004__c05/stage3_n4__from__n0019__c02/stage4_n2__from__n0063__c01/stage5_n2__from__n0178__c02,stage1_n3__from__root__c03/stage2_n1__from__n0003__c01/stage3_n2__from__n0012__c02/stage4_n1__from__n0042__c01/stage5_n2__from__n0121__c02,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10,,clear=false,0.39600296176628974,0.11975282714054926,0.0016957613181204341,0.04935283477646556,stage1_n4__from__root__c04,stage1_n3__from__root__c03
76,7,6,9,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],repair_subset,transfer,transfer,22.5,22.5,0.0,False,False,False,False,False,False,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n2__from__root__c02/stage2_n1__from__n0002__c01/stage3_n1__from__n0009__c01/stage4_n1__from__n0032__c01/stage5_n2__from__n0097__c02,stage1_n4__from__root__c04/stage2_n1__from__n0004__c01/stage3_n1__from__n0015__c01/stage4_n1__from__n0050__c01/stage5_n2__from__n0143__c02,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;invalid_local_transfer_floor_18,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;invalid_local_transfer_floor_18,penalty>=14;local->transfer;clear=false,0.7389684975767367,0.7192016693591814,0.053588642683321086,0.08071003609374228,stage1_n2__from__root__c02,stage1_n4__from__root__c04
77,7,7,10,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],repair_subset,transfer,transfer,23.5,22.5,1.0,False,False,False,False,False,False,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n3__from__root__c03/stage2_n3__from__n0003__c03/stage3_n5__from__n0014__c03/stage4_n5__from__n0049__c04/stage5_n5__from__n0142__c03,stage1_n3__from__root__c03/stage2_n1__from__n0003__c01/stage3_n2__from__n0012__c02/stage4_n1__from__n0042__c01/stage5_n2__from__n0121__c02,True,False,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;invalid_local_transfer_floor_18,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12;invalid_local_transfer_floor_18,penalty>=14;local->transfer;clear=false,0.7602277867528272,0.7379927302100162,0.013483354298071537,0.04437377959743399,stage1_n3__from__root__c03,stage1_n3__from__root__c03
78,7,8,13,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],repair_subset,repair_subset,repair_subset,18.0,6.0,12.0,False,True,False,False,False,False,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n1__from__root__c01/stage2_n1__from__n0001__c01/stage3_n2__from__n0006__c02/stage4_n1__from__n0024__c01/stage5_n2__from__n0075__c02,stage1_n2__from__root__c02/stage2_n1__from__n0002__c01/stage3_n2__from__n0009__c02/stage4_n1__from__n0033__c01/stage5_n2__from__n0098__c02,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12,clear_but_aux_failure_floor_6,penalty>=14;clear=false,0.5877140549273021,0.2850716208939149,0.052000045551660566,0.04663489756599107,stage1_n1__from__root__c01,stage1_n2__from__root__c02
79,7,9,16,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],repair_all,transfer,repair_all,22.5,0.0,22.5,False,True,True,True,False,True,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n1__from__root__c01/stage2_n1__from__n0001__c01/stage3_n1__from__n0006__c01/stage4_n1__from__n0023__c01/stage5_n1__from__n0074__c01,stage1_n4__from__root__c04/stage2_n1__from__n0004__c01/stage3_n1__from__n0015__c01/stage4_n1__from__n0050__c01/stage5_n2__from__n0143__c02,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;invalid_local_transfer_floor_18,,penalty>=14;local->transfer;clear=false,0.7143244480344642,0.11409827679052235,0.05873088996679555,0.043566837029017175,stage1_n1__from__root__c01,stage1_n4__from__root__c04
85,8,5,2,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],repair_all,repair_subset,repair_all,12.0,0.0,12.0,False,True,False,True,False,True,mostly_deep_vs_mostly_deep_required,mostly_deep_vs_mostly_deep_required,stage1_n5__from__root__c05/stage2_n5__from__n0005__c03/stage3_n5__from__n0022__c03/stage4_n4__from__n0073__c03/stage5_n1__from__n0214__c01,stage1_n3__from__root__c03/stage2_n2__from__n0003__c02/stage3_n5__from__n0013__c04/stage4_n5__from__n0046__c04/stage5_n4__from__n0132__c02,True,True,True,subset_mismatch_base_plus_linear;local_clear_failure_floor_10;local_clear_and_aux_failure_floor_12,,clear=false,0.4492882337102854,0.1387285945072698,0.0022584976822676356,0.0009657101282038009,stage1_n5__from__root__c05,stage1_n3__from__root__c03
