method,episode_index,phase,bucket,specialist,archetype,oracle_action,final_action,agent_modes,task_reqs,stage_pairs,agent_fast_count,task_fast_count,ff,fast_on_deep,deep_on_fast,dd,match_count,match_rate,agent_majority,task_majority,pair_class,raw_terminal_penalty,raw_reasoning_cost_component,raw_path_cost_component,raw_total_cost,exact_match,terminal_success_proxy,policy_clean_proxy,policy_violation_count,clear_success_no_fallback,aux_exec_success,total_tokens,selected_path,original_task_id
direct_multistage_exp3,10,target_post_switch,target_favoring,True,trap_like_bad,repair_subset,transfer,FFDDD,FDDDD,"F/F,F/D,D/D,D/D,D/D",2,1,1,1,0,3,4,0.8,deep,deep,agent_deep__task_deep,16.5,5.076214,0.061700000000000005,21.637914,False,False,False,1,,,52054.1,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c03 > stage3_n3__from__n0017__c01 > stage4_n2__from__n0056__c01 > stage5_n2__from__n0156__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None]
direct_multistage_exp3,11,target_post_switch,target_favoring,True,neutral,repair_all,repair_subset,FFDFF,FDDDD,"F/F,F/D,D/D,F/D,F/D",4,1,1,3,0,1,2,0.4,fast,deep,agent_fast__task_deep,17.0,4.16526,0.06520000000000001,21.23046,False,False,False,1,,,31416.0,stage1_n5__from__root__c05 > stage2_n3__from__n0005__c01 > stage3_n5__from__n0020__c03 > stage4_n4__from__n0067__c03 > stage5_n4__from__n0194__c03,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
direct_multistage_exp3,12,target_post_switch,target_favoring,True,trap_like_bad,repair_subset,transfer,FDDFF,FDDDD,"F/F,D/D,D/D,F/D,F/D",3,1,1,2,0,2,3,0.6,fast,deep,agent_fast__task_deep,18.5,6.812097,0.0599,25.371997,False,False,False,1,,,53104.64,stage1_n4__from__root__c04 > stage2_n4__from__n0004__c04 > stage3_n5__from__n0018__c03 > stage4_n4__from__n0061__c03 > stage5_n4__from__n0174__c03,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy]
direct_multistage_exp3,13,target_post_switch,target_favoring,True,neutral,repair_subset,transfer,DFDDD,FDDDD,"D/F,F/D,D/D,D/D,D/D",1,1,0,1,1,3,3,0.6,deep,deep,agent_deep__task_deep,21.5,4.590105,0.0692,26.159305,False,False,False,1,,,44830.0,stage1_n3__from__root__c03 > stage2_n2__from__n0003__c02 > stage3_n3__from__n0013__c02 > stage4_n3__from__n0044__c02 > stage5_n2__from__n0124__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy]
direct_multistage_exp3,14,target_post_switch,target_favoring,False,neutral,transfer,transfer,DDDDD,FDDDD,"D/F,D/D,D/D,D/D,D/D",0,1,0,0,1,4,4,0.8,deep,deep,agent_deep__task_deep,1.0,4.794035,0.0748,5.868835,False,False,True,0,,,48779.0,stage1_n2__from__root__c02 > stage2_n1__from__n0002__c01 > stage3_n2__from__n0009__c02 > stage4_n1__from__n0033__c01 > stage5_n1__from__n0098__c01,[mms_issue]airplane_mode_on|break_apn_mms_setting|break_app_both_permissions|user_abroad_roaming_disabled_off[PERSONA:None]
direct_multistage_exp3,15,target_post_switch,target_favoring,True,neutral,repair_subset,repair_subset,DFFDD,FDDDD,"D/F,F/D,F/D,D/D,D/D",2,1,0,2,1,2,2,0.4,deep,deep,agent_deep__task_deep,13.0,6.383055,0.0735,19.456554999999998,False,False,False,1,,,61530.0,stage1_n2__from__root__c02 > stage2_n2__from__n0002__c02 > stage3_n4__from__n0010__c03 > stage4_n5__from__n0036__c04 > stage5_n5__from__n0105__c03,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
direct_multistage_exp3,16,target_post_switch,target_favoring,True,trap_like_bad,repair_subset,transfer,FDFDD,FDDDD,"F/F,D/D,F/D,D/D,D/D",2,1,1,1,0,3,4,0.8,deep,deep,agent_deep__task_deep,20.5,5.658577,0.06420000000000001,26.222777,False,False,False,1,,,56091.8,stage1_n4__from__root__c04 > stage2_n5__from__n0004__c05 > stage3_n4__from__n0019__c02 > stage4_n3__from__n0063__c02 > stage5_n3__from__n0179__c03,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
direct_multistage_exp3,17,target_post_switch,target_favoring,True,neutral,repair_all,repair_subset,DDDDD,FDDDD,"D/F,D/D,D/D,D/D,D/D",0,1,0,0,1,4,4,0.8,deep,deep,agent_deep__task_deep,11.0,5.92651,0.0753,17.00181,False,False,True,0,,,62209.0,stage1_n2__from__root__c02 > stage2_n1__from__n0002__c01 > stage3_n2__from__n0009__c02 > stage4_n1__from__n0033__c01 > stage5_n2__from__n0098__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
direct_multistage_exp3,18,target_post_switch,target_favoring,True,neutral,repair_subset,transfer,FDDDF,FDDDD,"F/F,D/D,D/D,D/D,F/D",2,1,1,1,0,3,4,0.8,deep,deep,agent_deep__task_deep,18.5,5.012145,0.0717,23.583845,False,False,False,1,,,46595.0,stage1_n5__from__root__c05 > stage2_n5__from__n0005__c03 > stage3_n3__from__n0022__c01 > stage4_n3__from__n0071__c02 > stage5_n4__from__n0207__c04,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
direct_multistage_exp3,19,target_post_switch,target_favoring,True,trap_like_bad,repair_subset,transfer,FFDDD,FDDDD,"F/F,F/D,D/D,D/D,D/D",2,1,1,1,0,3,4,0.8,deep,deep,agent_deep__task_deep,20.5,6.085403,0.07010000000000001,26.655503,False,False,False,1,,,64232.060000000005,stage1_n4__from__root__c04 > stage2_n2__from__n0004__c02 > stage3_n2__from__n0016__c01 > stage4_n1__from__n0052__c01 > stage5_n1__from__n0145__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
epsilon_exp3,0,trap_pre_switch,trap_favoring,False,trap_like_good,repair_all,repair_all,FFDDD,FFFFF,"F/F,F/F,D/F,D/F,D/F",2,5,2,0,3,0,2,0.4,deep,fast,agent_deep__task_fast,0.0,4.547912,0.0655,4.613412,True,True,True,0,,,38190.32,stage1_n4__from__root__c04 > stage2_n2__from__n0004__c02 > stage3_n3__from__n0016__c02 > stage4_n2__from__n0053__c01 > stage5_n2__from__n0146__c02,[mms_issue]airplane_mode_on|bad_network_preference|break_app_sms_permission[PERSONA:Hard]
epsilon_exp3,1,trap_pre_switch,trap_favoring,False,neutral,repair_all,repair_all,DFDDF,FFFFF,"D/F,F/F,D/F,D/F,F/F",2,5,2,0,3,0,2,0.4,deep,fast,agent_deep__task_fast,0.0,4.232925,0.063,4.2959249999999995,True,True,True,0,,,37128.0,stage1_n3__from__root__c03 > stage2_n3__from__n0003__c03 > stage3_n3__from__n0014__c01 > stage4_n3__from__n0047__c02 > stage5_n4__from__n0134__c04,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None]
epsilon_exp3,2,trap_pre_switch,trap_favoring,False,trap_like_good,repair_all,repair_all,FDDDF,FFFFF,"F/F,D/F,D/F,D/F,F/F",2,5,2,0,3,0,2,0.4,deep,fast,agent_deep__task_fast,0.0,4.399069,0.0591,4.458169,True,True,True,0,,,38041.09,stage1_n4__from__root__c04 > stage2_n4__from__n0004__c04 > stage3_n3__from__n0018__c01 > stage4_n3__from__n0059__c02 > stage5_n4__from__n0167__c04,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
epsilon_exp3,3,trap_pre_switch,trap_favoring,False,neutral,repair_subset,repair_all,FDDDD,FFFFF,"F/F,D/F,D/F,D/F,D/F",1,5,1,0,4,0,1,0.2,deep,fast,agent_deep__task_fast,5.0,5.30611,0.0777,10.38381,False,False,True,0,,,43057.0,stage1_n5__from__root__c05 > stage2_n5__from__n0005__c03 > stage3_n3__from__n0022__c01 > stage4_n2__from__n0071__c01 > stage5_n2__from__n0206__c02,[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded[PERSONA:Hard]
epsilon_exp3,4,trap_pre_switch,trap_favoring,False,neutral,repair_all,repair_all,DDDDD,FFFFF,"D/F,D/F,D/F,D/F,D/F",0,5,0,0,5,0,0,0.0,deep,fast,agent_deep__task_fast,1.5,5.64052,0.07600000000000001,7.216520000000001,False,False,True,0,,,45436.0,stage1_n3__from__root__c03 > stage2_n1__from__n0003__c01 > stage3_n2__from__n0012__c02 > stage4_n1__from__n0042__c01 > stage5_n2__from__n0121__c02,[mms_issue]airplane_mode_on|break_app_storage_permission[PERSONA:Easy]
epsilon_exp3,5,target_post_switch,target_favoring,True,neutral,repair_subset,repair_subset,DDDDD,FDDDD,"D/F,D/D,D/D,D/D,D/D",0,1,0,0,1,4,4,0.8,deep,deep,agent_deep__task_deep,2.0,5.71444,0.0753,7.78974,True,True,False,1,,,59290.0,stage1_n2__from__root__c02 > stage2_n1__from__n0002__c01 > stage3_n2__from__n0009__c02 > stage4_n1__from__n0033__c01 > stage5_n2__from__n0098__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
epsilon_exp3,6,target_post_switch,target_favoring,True,neutral,repair_subset,transfer,DFDDD,FDDDD,"D/F,F/D,D/D,D/D,D/D",1,1,0,1,1,3,3,0.6,deep,deep,agent_deep__task_deep,21.5,5.832345,0.0702,27.402545,False,False,False,1,,,59178.0,stage1_n3__from__root__c03 > stage2_n2__from__n0003__c02 > stage3_n3__from__n0013__c02 > stage4_n2__from__n0044__c01 > stage5_n1__from__n0123__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
epsilon_exp3,7,target_post_switch,target_favoring,True,neutral,repair_all,repair_subset,FFDDD,FDDDD,"F/F,F/D,D/D,D/D,D/D",2,1,1,1,0,3,4,0.8,deep,deep,agent_deep__task_deep,11.0,5.91398,0.0736,16.98758,False,False,True,0,,,63880.0,stage1_n1__from__root__c01 > stage2_n2__from__n0001__c02 > stage3_n2__from__n0007__c01 > stage4_n1__from__n0025__c01 > stage5_n2__from__n0076__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
epsilon_exp3,8,target_post_switch,target_favoring,True,neutral,repair_subset,repair_subset,FFDDD,FDDDD,"F/F,F/D,D/D,D/D,D/D",2,1,1,1,0,3,4,0.8,deep,deep,agent_deep__task_deep,3.0,4.447915,0.0703,7.518215,False,False,False,1,,,47369.0,stage1_n5__from__root__c05 > stage2_n3__from__n0005__c01 > stage3_n3__from__n0020__c01 > stage4_n3__from__n0065__c02 > stage5_n3__from__n0187__c03,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
epsilon_exp3,9,target_post_switch,target_favoring,True,trap_like_bad,repair_subset,transfer,FDDDD,FDDDD,"F/F,D/D,D/D,D/D,D/D",1,1,1,0,0,4,5,1.0,deep,deep,agent_deep__task_deep,20.5,5.72486,0.07010000000000001,26.29496,False,False,False,1,,,61191.28,stage1_n4__from__root__c04 > stage2_n4__from__n0004__c04 > stage3_n5__from__n0018__c03 > stage4_n2__from__n0061__c01 > stage5_n1__from__n0172__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
epsilon_exp3,10,target_post_switch,target_favoring,True,neutral,repair_subset,repair_subset,FDDDD,FDDDD,"F/F,D/D,D/D,D/D,D/D",1,1,1,0,0,4,5,1.0,deep,deep,agent_deep__task_deep,17.0,4.18761,0.0732,21.26081,False,False,True,0,,,45414.0,stage1_n5__from__root__c05 > stage2_n4__from__n0005__c02 > stage3_n3__from__n0021__c01 > stage4_n2__from__n0068__c01 > stage5_n1__from__n0196__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None]
epsilon_exp3,11,target_post_switch,target_favoring,True,neutral,repair_all,transfer,DFFDD,FDDDD,"D/F,F/D,F/D,D/D,D/D",2,1,0,2,1,2,2,0.4,deep,deep,agent_deep__task_deep,18.5,5.404945,0.06770000000000001,23.972645,False,False,True,0,,,50252.0,stage1_n2__from__root__c02 > stage2_n2__from__n0002__c02 > stage3_n4__from__n0010__c03 > stage4_n2__from__n0036__c01 > stage5_n2__from__n0102__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
epsilon_exp3,12,target_post_switch,target_favoring,True,neutral,repair_subset,transfer,DFDDD,FDDDD,"D/F,F/D,D/D,D/D,D/D",1,1,0,1,1,3,3,0.6,deep,deep,agent_deep__task_deep,19.5,5.15918,0.06570000000000001,24.72488,False,False,False,1,,,50658.0,stage1_n2__from__root__c02 > stage2_n3__from__n0002__c03 > stage3_n3__from__n0011__c01 > stage4_n2__from__n0038__c01 > stage5_n1__from__n0110__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy]
epsilon_exp3,13,target_post_switch,target_favoring,True,neutral,repair_subset,repair_subset,FFFFD,FDDDD,"F/F,F/D,F/D,F/D,D/D",4,1,1,3,0,1,2,0.4,fast,deep,agent_fast__task_deep,5.0,5.594805,0.06430000000000001,10.659105,False,False,False,1,,,46989.0,stage1_n5__from__root__c05 > stage2_n3__from__n0005__c01 > stage3_n4__from__n0020__c02 > stage4_n4__from__n0066__c03 > stage5_n1__from__n0190__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy]
epsilon_exp3,14,target_post_switch,target_favoring,False,neutral,transfer,transfer,FFFDD,FDDDD,"F/F,F/D,F/D,D/D,D/D",3,1,1,2,0,2,3,0.6,fast,deep,agent_fast__task_deep,1.0,4.32577,0.06760000000000001,5.393370000000001,False,False,True,0,,,41824.0,stage1_n1__from__root__c01 > stage2_n3__from__n0001__c03 > stage3_n4__from__n0008__c02 > stage4_n5__from__n0030__c04 > stage5_n2__from__n0092__c01,[mms_issue]airplane_mode_on|break_apn_mms_setting|break_app_both_permissions|user_abroad_roaming_disabled_off[PERSONA:None]
epsilon_exp3,15,target_post_switch,target_favoring,True,neutral,repair_subset,repair_subset,FDFFD,FDDDD,"F/F,D/D,F/D,F/D,D/D",3,1,1,2,0,2,3,0.6,fast,deep,agent_fast__task_deep,11.0,8.695155,0.06949999999999999,19.764654999999998,False,False,True,0,,,82814.0,stage1_n5__from__root__c05 > stage2_n5__from__n0005__c03 > stage3_n4__from__n0022__c02 > stage4_n4__from__n0072__c03 > stage5_n1__from__n0210__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard]
epsilon_exp3,16,target_post_switch,target_favoring,True,neutral,repair_subset,repair_subset,FFFDD,FDDDD,"F/F,F/D,F/D,D/D,D/D",3,1,1,2,0,2,3,0.6,fast,deep,agent_fast__task_deep,15.0,4.497695,0.067,19.564695,False,False,False,1,,,42281.0,stage1_n1__from__root__c01 > stage2_n2__from__n0001__c02 > stage3_n4__from__n0007__c03 > stage4_n3__from__n0027__c02 > stage5_n1__from__n0080__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
epsilon_exp3,17,target_post_switch,target_favoring,True,neutral,repair_all,repair_subset,FDDDD,FDDDD,"F/F,D/D,D/D,D/D,D/D",1,1,1,0,0,4,5,1.0,deep,deep,agent_deep__task_deep,11.0,5.23107,0.0758,16.30687,False,False,True,0,,,57768.0,stage1_n1__from__root__c01 > stage2_n1__from__n0001__c01 > stage3_n2__from__n0006__c02 > stage4_n1__from__n0024__c01 > stage5_n2__from__n0075__c02,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard]
epsilon_exp3,18,target_post_switch,target_favoring,True,neutral,repair_subset,transfer,DDDDD,FDDDD,"D/F,D/D,D/D,D/D,D/D",0,1,0,0,1,4,4,0.8,deep,deep,agent_deep__task_deep,18.5,5.565365,0.07650000000000001,24.141865,False,False,False,1,,,57164.0,stage1_n3__from__root__c03 > stage2_n1__from__n0003__c01 > stage3_n1__from__n0012__c01 > stage4_n1__from__n0041__c01 > stage5_n1__from__n0120__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None]
epsilon_exp3,19,target_post_switch,target_favoring,True,neutral,repair_subset,repair_subset,DFDDD,FDDDD,"D/F,F/D,D/D,D/D,D/D",1,1,0,1,1,3,3,0.6,deep,deep,agent_deep__task_deep,13.0,5.834625,0.0695,18.904125,False,False,False,1,,,59240.0,stage1_n2__from__root__c02 > stage2_n2__from__n0002__c02 > stage3_n3__from__n0010__c02 > stage4_n2__from__n0035__c01 > stage5_n1__from__n0100__c01,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None]
risky_ps_linear,0,trap_pre_switch,trap_favoring,False,trap_like_good,repair_all,repair_all,FFDDD,FFFFF,"F/F,F/F,D/F,D/F,D/F",2,5,2,0,3,0,2,0.4,deep,fast,agent_deep__task_fast,0.0,4.564417,0.06670000000000001,4.631117,True,True,True,0,,,38226.2,stage1_n4__from__root__c04 > stage2_n2__from__n0004__c02 > stage3_n3__from__n0016__c02 > stage4_n3__from__n0053__c02 > stage5_n2__from__n0147__c02,[mms_issue]airplane_mode_on|bad_network_preference|break_app_sms_permission[PERSONA:Hard]
risky_ps_linear,1,trap_pre_switch,trap_favoring,False,neutral,repair_all,repair_all,DFDDF,FFFFF,"D/F,F/F,D/F,D/F,F/F",2,5,2,0,3,0,2,0.4,deep,fast,agent_deep__task_fast,0.0,4.222385,0.06530000000000001,4.287685,True,True,True,0,,,37097.0,stage1_n3__from__root__c03 > stage2_n2__from__n0003__c02 > stage3_n5__from__n0013__c04 > stage4_n3__from__n0046__c02 > stage5_n4__from__n0130__c04,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None]
risky_ps_linear,2,trap_pre_switch,trap_favoring,False,neutral,repair_all,repair_all,FFDDD,FFFFF,"F/F,F/F,D/F,D/F,D/F",2,5,2,0,3,0,2,0.4,deep,fast,agent_deep__task_fast,0.0,3.953645,0.07500000000000001,4.028645,True,True,True,0,,,33215.0,stage1_n5__from__root__c05 > stage2_n3__from__n0005__c01 > stage3_n5__from__n0020__c03 > stage4_n3__from__n0067__c02 > stage5_n1__from__n0193__c01,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
