method,episode_index,episode_1based,phase,schedule_phase,repeat_index,position_in_cycle,dataset_index,original_task_id,expected_terminal_action,oracle_action,final_action,terminal_cost,reasoning_cost,total_cost,exact_match,subset_mismatch,policy_violation_count,actual_modes,required_modes,actual_fast_count,actual_deep_count,required_fast_count,required_deep_count,actual_majority,required_majority,majority_pair,mismatch_bucket,post_switch_probability_freeze_active,post_switch_probability_freeze_mode,root_child_id,root_selection_mode,leaf_type,selected_shared_path,selected_unshared_path,clear_execution_success,assistant_side_required,assistant_side_tool_calls,assistant_execution_status,assistant_execution_success
direct_multistage_exp3,10,11,pre_switch,trap_pre_switch,1,0,19,[mms_issue]airplane_mode_on|bad_network_preference|break_app_sms_permission[PERSONA:Hard],repair_all,repair_all,repair_all,1.5,4.93448,6.49618,False,True,0,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,2,3,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n4__from__root__c04,direct_exploit,shared,True,False,False,False,0,not_required,
direct_multistage_exp3,11,12,pre_switch,trap_pre_switch,1,1,13,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],repair_all,repair_all,repair_all,0.0,3.219545,3.284745,True,False,0,fast/fast/deep/fast/fast,fast/fast/fast/fast/fast,4,1,5,0,mostly_fast,mostly_fast,mostly_fast_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n5__from__root__c05,direct_exploit,shared,True,False,True,False,0,not_required,
direct_multistage_exp3,12,13,pre_switch,trap_pre_switch,1,2,7,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],repair_all,repair_all,repair_all,0.0,3.219095,3.277195,True,False,0,fast/fast/deep/fast/fast,fast/fast/fast/fast/fast,4,1,5,0,mostly_fast,mostly_fast,mostly_fast_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n4__from__root__c04,direct_exploit,shared,True,False,True,False,0,not_required,
direct_multistage_exp3,13,14,pre_switch,trap_pre_switch,1,3,25,[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded[PERSONA:Hard],repair_subset,repair_subset,repair_subset,6.0,4.991735,11.060935,False,True,1,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,1,4,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n3__from__root__c03,direct_exploit,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,14,15,pre_switch,trap_pre_switch,1,4,36,[mms_issue]airplane_mode_on|break_app_storage_permission[PERSONA:Easy],repair_all,repair_all,repair_all,1.5,5.64236,7.21716,False,True,0,deep/deep/deep/deep/deep,fast/fast/fast/fast/fast,0,5,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n2__from__root__c02,direct_exploit,shared,True,False,False,False,0,not_required,
direct_multistage_exp3,15,16,pre_switch,trap_pre_switch,1,5,18,[mms_issue]bad_network_preference[PERSONA:None],repair_all,repair_all,repair_all,1.5,3.67471,5.24931,False,True,0,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,2,3,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n1__from__root__c01,direct_exploit,unshared,False,True,False,False,0,not_required,
direct_multistage_exp3,16,17,pre_switch,trap_pre_switch,1,6,24,[mms_issue]bad_network_preference|break_app_storage_permission[PERSONA:None],repair_all,repair_all,repair_all,1.5,4.987865,6.563765,False,True,0,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,1,4,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n5__from__root__c05,direct_exploit,shared,True,False,False,False,0,not_required,
direct_multistage_exp3,17,18,pre_switch,trap_pre_switch,1,7,23,[mms_issue]bad_wifi_calling[PERSONA:Easy],repair_all,repair_all,repair_all,0.0,7.997265,8.065565,True,False,0,deep/fast/deep/deep/fast,fast/fast/fast/fast/fast,2,3,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n3__from__root__c03,direct_exploit,shared,True,False,True,False,0,not_required,
direct_multistage_exp3,18,19,pre_switch,trap_pre_switch,1,8,61,[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],repair_all,repair_all,repair_all,0.0,4.036315,4.103915,True,False,0,fast/deep/fast/fast/deep,fast/fast/fast/fast/fast,3,2,5,0,mostly_fast,mostly_fast,mostly_fast_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n5__from__root__c05,direct_exploit,unshared,False,True,True,False,0,not_required,
direct_multistage_exp3,19,20,pre_switch,trap_pre_switch,1,9,0,[mms_issue]break_app_both_permissions[PERSONA:Hard],repair_all,repair_all,repair_all,1.5,9.55987,11.13307,False,True,0,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,1,4,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n5__from__root__c05,direct_exploit,shared,True,False,False,False,0,not_required,
direct_multistage_exp3,20,21,pre_switch,trap_pre_switch,2,0,19,[mms_issue]airplane_mode_on|bad_network_preference|break_app_sms_permission[PERSONA:Hard],repair_all,repair_all,repair_all,1.5,5.62081,7.192209999999999,False,True,0,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,1,4,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n4__from__root__c04,direct_exploit,shared,True,False,False,False,0,not_required,
direct_multistage_exp3,21,22,pre_switch,trap_pre_switch,2,1,13,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],repair_all,repair_all,repair_all,0.0,4.565895,4.634995,True,False,0,deep/fast/deep/deep/deep,fast/fast/fast/fast/fast,1,4,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n2__from__root__c02,direct_exploit,shared,True,False,True,False,0,not_required,
direct_multistage_exp3,22,23,pre_switch,trap_pre_switch,2,2,7,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],repair_all,repair_all,repair_all,0.0,5.05501,5.13401,True,False,0,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,1,4,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n1__from__root__c01,direct_exploit,shared,True,False,True,False,0,not_required,
direct_multistage_exp3,23,24,pre_switch,trap_pre_switch,2,3,25,[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded[PERSONA:Hard],repair_subset,repair_subset,repair_all,5.0,4.944665,10.007565,False,True,0,fast/deep/deep/deep/deep,fast/fast/fast/fast/fast,1,4,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n4__from__root__c04,direct_exploit,shared,True,False,False,True,1,assistant_tool_called_but_not_clean,False
direct_multistage_exp3,24,25,pre_switch,trap_pre_switch,2,4,36,[mms_issue]airplane_mode_on|break_app_storage_permission[PERSONA:Easy],repair_all,repair_all,repair_all,1.5,3.959075,5.525675,False,True,0,fast/fast/deep/deep/deep,fast/fast/fast/fast/fast,2,3,5,0,mostly_deep,mostly_fast,mostly_deep_path__mostly_fast_task,deep_on_fast_required,False,,stage1_n4__from__root__c04,direct_exploit,shared,True,False,False,False,0,not_required,
direct_multistage_exp3,25,26,post_switch,target_post_switch,2,5,35,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],repair_subset,repair_subset,repair_subset,3.0,4.68963,7.75573,False,True,1,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,2,3,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,True,full_tree_child_marginal_at_switch,stage1_n1__from__root__c01,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,26,27,post_switch,target_post_switch,2,6,51,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],repair_subset,repair_subset,repair_subset,13.0,5.321765,18.391065,False,True,1,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,1,4,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,True,full_tree_child_marginal_at_switch,stage1_n4__from__root__c04,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,27,28,post_switch,target_post_switch,2,7,45,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],repair_all,repair_all,repair_subset,11.0,5.95813,17.03563,False,True,0,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,0,5,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,True,full_tree_child_marginal_at_switch,stage1_n3__from__root__c03,frozen_tree_post_switch,shared,True,False,False,False,0,not_required,
direct_multistage_exp3,28,29,post_switch,target_post_switch,2,8,40,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],repair_subset,repair_subset,transfer,18.5,5.571655,24.148155,False,True,1,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,0,5,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,True,full_tree_child_marginal_at_switch,stage1_n3__from__root__c03,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,29,30,post_switch,target_post_switch,2,9,46,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],repair_subset,repair_subset,repair_subset,15.0,4.745265,19.820664999999998,False,True,1,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,1,4,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,True,full_tree_child_marginal_at_switch,stage1_n3__from__root__c03,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,30,31,post_switch,target_post_switch,3,0,16,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],repair_subset,repair_subset,repair_subset,17.0,4.74827,21.817169999999997,False,True,0,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,1,4,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,True,full_tree_child_marginal_at_switch,stage1_n4__from__root__c04,frozen_tree_post_switch,shared,True,False,False,True,2,assistant_tool_called_but_not_clean,False
direct_multistage_exp3,31,32,post_switch,target_post_switch,3,1,65,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],repair_all,repair_all,repair_all,0.0,5.48733,5.56483,True,False,0,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,0,5,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,True,full_tree_child_marginal_at_switch,stage1_n3__from__root__c03,frozen_tree_post_switch,shared,True,False,True,False,0,not_required,
direct_multistage_exp3,32,33,post_switch,target_post_switch,3,2,11,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],repair_subset,repair_subset,transfer,18.5,5.57016,24.147660000000002,False,True,1,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,0,5,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,True,full_tree_child_marginal_at_switch,stage1_n3__from__root__c03,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,33,34,post_switch,target_post_switch,3,3,17,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],repair_subset,repair_subset,transfer,21.5,7.266415,28.840515000000003,False,True,1,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,1,4,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,True,full_tree_child_marginal_at_switch,stage1_n3__from__root__c03,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,34,35,post_switch,target_post_switch,3,4,67,[mms_issue]airplane_mode_on|break_apn_mms_setting|break_app_both_permissions|user_abroad_roaming_disabled_off[PERSONA:None],transfer,transfer,transfer,1.0,4.35812,5.431620000000001,False,True,0,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,1,4,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,True,full_tree_child_marginal_at_switch,stage1_n4__from__root__c04,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,35,36,post_switch,target_post_switch,3,5,35,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],repair_subset,repair_subset,repair_subset,11.5,7.007155,18.578255,False,True,1,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,2,3,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,True,full_tree_child_marginal_at_switch,stage1_n5__from__root__c05,frozen_tree_post_switch,shared,True,False,False,True,1,assistant_tool_called_but_not_clean,False
direct_multistage_exp3,36,37,post_switch,target_post_switch,3,6,51,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],repair_subset,repair_subset,repair_subset,13.0,5.51081,18.57021,False,True,1,fast/fast/fast/deep/deep,fast/deep/deep/deep/deep,3,2,1,4,mostly_fast,mostly_deep,mostly_fast_path__mostly_deep_task,fast_on_deep_required,True,full_tree_child_marginal_at_switch,stage1_n4__from__root__c04,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,37,38,post_switch,target_post_switch,3,7,45,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],repair_all,repair_all,repair_subset,11.0,5.5539,16.627399999999998,False,True,0,fast/deep/deep/deep/deep,fast/deep/deep/deep/deep,1,4,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,all_stage_modes_match,True,full_tree_child_marginal_at_switch,stage1_n4__from__root__c04,frozen_tree_post_switch,shared,True,False,False,False,0,not_required,
direct_multistage_exp3,38,39,post_switch,target_post_switch,3,8,40,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],repair_subset,repair_subset,repair_subset,5.0,5.25989,10.32529,False,True,1,fast/fast/deep/fast/deep,fast/deep/deep/deep/deep,3,2,1,4,mostly_fast,mostly_deep,mostly_fast_path__mostly_deep_task,fast_on_deep_required,True,full_tree_child_marginal_at_switch,stage1_n4__from__root__c04,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,39,40,post_switch,target_post_switch,3,9,46,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],repair_subset,repair_subset,repair_subset,5.0,6.16136,11.22346,False,True,1,deep/fast/fast/fast/deep,fast/deep/deep/deep/deep,3,2,1,4,mostly_fast,mostly_deep,mostly_fast_path__mostly_deep_task,both_mismatch_types,True,full_tree_child_marginal_at_switch,stage1_n3__from__root__c03,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,40,41,post_switch,target_post_switch,4,0,16,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],repair_subset,repair_subset,transfer,16.5,5.25494,21.83144,False,True,1,deep/deep/deep/deep/deep,fast/deep/deep/deep/deep,0,5,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,deep_on_fast_required,True,full_tree_child_marginal_at_switch,stage1_n3__from__root__c03,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,41,42,post_switch,target_post_switch,4,1,65,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],repair_all,repair_all,repair_all,0.0,5.25969,5.33069,True,False,0,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,1,4,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,True,full_tree_child_marginal_at_switch,stage1_n3__from__root__c03,frozen_tree_post_switch,shared,True,False,True,False,0,not_required,
direct_multistage_exp3,42,43,post_switch,target_post_switch,4,2,11,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],repair_subset,repair_subset,transfer,19.5,5.154335,24.729734999999998,False,True,1,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,1,4,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,True,full_tree_child_marginal_at_switch,stage1_n3__from__root__c03,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,43,44,post_switch,target_post_switch,4,3,17,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],repair_subset,repair_subset,transfer,21.5,4.789405,26.356405000000002,False,True,1,fast/fast/deep/deep/fast,fast/deep/deep/deep/deep,3,2,1,4,mostly_fast,mostly_deep,mostly_fast_path__mostly_deep_task,fast_on_deep_required,True,full_tree_child_marginal_at_switch,stage1_n5__from__root__c05,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,44,45,post_switch,target_post_switch,4,4,67,[mms_issue]airplane_mode_on|break_apn_mms_setting|break_app_both_permissions|user_abroad_roaming_disabled_off[PERSONA:None],transfer,transfer,transfer,1.0,4.995205,6.071005,False,True,0,deep/fast/deep/deep/deep,fast/deep/deep/deep/deep,1,4,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,both_mismatch_types,True,full_tree_child_marginal_at_switch,stage1_n3__from__root__c03,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,45,46,post_switch,target_post_switch,4,5,35,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],repair_subset,repair_subset,repair_subset,3.0,4.650105,7.716205,False,True,1,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,2,3,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,True,full_tree_child_marginal_at_switch,stage1_n1__from__root__c01,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,46,47,post_switch,target_post_switch,4,6,51,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],repair_subset,repair_subset,repair_subset,13.0,5.56969,18.64289,False,True,1,fast/deep/fast/deep/deep,fast/deep/deep/deep/deep,2,3,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,True,full_tree_child_marginal_at_switch,stage1_n4__from__root__c04,frozen_tree_post_switch,shared,True,False,False,True,0,assistant_required_but_no_tool_or_not_clean,False
direct_multistage_exp3,47,48,post_switch,target_post_switch,4,7,45,[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],repair_all,repair_all,repair_subset,11.0,5.334365,16.404465000000002,False,True,0,fast/fast/deep/deep/deep,fast/deep/deep/deep/deep,2,3,1,4,mostly_deep,mostly_deep,mostly_deep_path__mostly_deep_task,fast_on_deep_required,True,full_tree_child_marginal_at_switch,stage1_n4__from__root__c04,frozen_tree_post_switch,shared,True,False,False,False,0,not_required,
