actual_pattern,dataset_index,deferred_missing_vs_oracle,diagnostic_pattern,exact_match,expected_terminal_action,final_action,oracle_action,oracle_tools_missing_from_stage5_replay,raw_terminal_penalty,raw_total_cost,raw_total_cost_with_token_penalty,required_pattern,selected_missing_vs_oracle,task_id,terminal_adjustment_reasons
fdddd,10,[],fdddd,True,repair_subset,repair_subset,repair_subset,[],6.0,9.35605,12.60605,fdddd,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:None],"[""clear_but_aux_failure_floor_6""]"
ddddd,11,[],ddddd,False,repair_subset,repair_subset,repair_subset,[],12.0,16.195700000000002,16.195700000000002,ddddd,"[""airplane_mode_on"", ""bad_network_preference"", ""data_mode_off""]",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded[PERSONA:None],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
dfddd,12,[],dfddd,True,repair_all,repair_all,repair_all,[],0.0,3.7336300000000002,6.73363,dfddd,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None],[]
fdddd,13,"[""data_usage_exceeded""]",fdddd,False,repair_subset,repair_subset,repair_subset,[],21.0,24.1485,27.3985,fdddd,"[""airplane_mode_on"", ""bad_network_preference"", ""break_apn_mms_setting"", ""break_app_both_permissions"", ""data_mode_off"", ""unseat_sim_card"", ""user_abroad_roaming_enabled_off""]",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
dfddd,14,[],dfddd,True,repair_all,repair_all,repair_all,[],0.0,3.73356,6.733560000000001,dfddd,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off[PERSONA:Hard],[]
fffff,15,[],fffff,True,repair_all,repair_all,repair_all,[],0.0,2.1958699999999998,31.19587,fffff,[],[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],[]
fdddd,16,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,4.03946,7.03946,fdddd,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],[]
fffff,17,[],fffff,True,repair_all,repair_all,repair_all,[],0.0,2.70554,40.20554,fffff,[],[mms_issue]bad_wifi_calling|break_app_sms_permission[PERSONA:None],[]
fffff,18,[],fffff,False,repair_all,repair_subset,repair_all,"[""grant_app_permission"", ""toggle_wifi_calling""]",12.0,14.27014,44.27014,fffff,"[""bad_wifi_calling"", ""break_app_storage_permission""]",[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
fffff,19,[],fffff,False,repair_all,repair_subset,repair_all,"[""grant_app_permission"", ""toggle_wifi_calling""]",12.0,14.27399,44.27399,fffff,"[""bad_wifi_calling"", ""break_app_sms_permission""]",[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
fffff,20,[],fffff,False,repair_all,repair_subset,repair_all,"[""grant_app_permission"", ""toggle_wifi_calling""]",12.0,14.26482,44.26482,fffff,"[""bad_wifi_calling"", ""break_app_sms_permission""]",[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
fffff,21,[],fffff,False,repair_all,repair_subset,repair_all,"[""grant_app_permission"", ""toggle_wifi_calling""]",12.0,14.2735,44.2735,fffff,"[""bad_wifi_calling"", ""break_app_storage_permission""]",[mms_issue]bad_wifi_calling|break_app_storage_permission|data_mode_off[PERSONA:Easy],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
fffff,22,[],fffff,True,repair_all,repair_all,repair_all,[],0.0,2.70036,39.95036,fffff,[],[mms_issue]airplane_mode_on|bad_wifi_calling[PERSONA:Easy],[]
fffff,23,[],fffff,True,repair_all,repair_all,repair_all,[],0.0,2.84673,42.84673,fffff,[],[mms_issue]airplane_mode_on|bad_wifi_calling|data_mode_off[PERSONA:Easy],[]
fffff,24,[],fffff,True,repair_all,repair_all,repair_all,[],0.0,2.80207,42.05207,fffff,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling[PERSONA:None],[]
fffff,25,[],fffff,True,repair_all,repair_all,repair_all,[],0.0,2.74138,40.74138,fffff,[],[mms_issue]bad_network_preference|bad_wifi_calling[PERSONA:None],[]
fffff,26,[],fffff,True,repair_all,repair_all,repair_all,[],0.0,2.73459,40.23459,fffff,[],[mms_issue]bad_wifi_calling|data_mode_off[PERSONA:Easy],[]
fffff,27,[],fffff,True,repair_all,repair_all,repair_all,[],0.0,2.82748,42.07748,fffff,[],[mms_issue]bad_network_preference|bad_wifi_calling|data_mode_off[PERSONA:None],[]
fffff,28,[],fffff,True,repair_all,repair_all,repair_all,[],0.0,2.74677,40.99677,fffff,[],[mms_issue]bad_wifi_calling|break_app_both_permissions[PERSONA:Hard],[]
fffff,29,[],fffff,False,repair_all,repair_subset,repair_all,"[""grant_app_permission"", ""toggle_wifi_calling""]",12.0,14.29142,44.54142,fffff,"[""bad_wifi_calling"", ""break_app_both_permissions""]",[mms_issue]bad_network_preference|bad_wifi_calling|break_app_both_permissions[PERSONA:None],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
fffff,30,[],fffff,True,repair_all,repair_all,repair_all,[],0.0,2.86486,42.86486,fffff,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_both_permissions[PERSONA:Hard],[]
fffff,31,[],fffff,True,repair_all,repair_all,repair_all,[],0.0,2.86164,43.11164,fffff,[],[mms_issue]bad_wifi_calling|break_app_both_permissions|data_mode_off[PERSONA:Hard],[]
fdddd,32,[],fdddd,False,repair_all,repair_subset,repair_all,"[""grant_app_permission"", ""reboot_device"", ""reset_apn_settings"", ""toggle_wifi_calling""]",13.0,16.20849,19.20849,fdddd,"[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_storage_permission""]",[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Easy],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
fdddd,33,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.49927,6.49927,fdddd,[],[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:None],[]
fdddd,34,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.35115,6.3511500000000005,fdddd,[],[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:Easy],[]
fdddd,35,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.89288,6.89288,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|user_abroad_roaming_enabled_off[PERSONA:None],[]
fdddd,36,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.66062,6.66062,fdddd,[],[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:None],[]
fdddd,37,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.65747,6.65747,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|user_abroad_roaming_enabled_off[PERSONA:Easy],[]
fdddd,38,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.02985,6.02985,fdddd,[],[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],[]
fdddd,39,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.52013,6.52013,fdddd,[],[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|user_abroad_roaming_enabled_off[PERSONA:Hard],[]
fdddd,40,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,4.2489,7.2489,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:Easy],[]
fdddd,41,[],fdddd,False,repair_all,repair_subset,repair_all,"[""grant_app_permission"", ""reboot_device"", ""reset_apn_settings"", ""set_network_mode_preference"", ""toggle_wifi_calling""]",15.0,17.722550000000002,20.722550000000002,fdddd,"[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission""]",[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card[PERSONA:Easy],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
fdddd,42,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,4.33332,7.33332,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:None],[]
fdddd,43,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.45692,6.45692,fdddd,[],[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:Easy],[]
fdddd,44,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.98486,6.984859999999999,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:Easy],[]
fdddd,45,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.58775,6.58775,fdddd,[],[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],[]
fdddd,46,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,4.289009999999999,7.289009999999999,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Hard],[]
fdddd,47,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,4.12493,7.12493,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card[PERSONA:Hard],[]
fdddd,48,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.65418,6.65418,fdddd,[],[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:Hard],[]
fdddd,49,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.61813,6.61813,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:None],[]
fdddd,50,[],fdddd,False,repair_all,transfer,repair_all,"[""grant_app_permission"", ""reboot_device"", ""reseat_sim_card"", ""reset_apn_settings"", ""set_network_mode_preference"", ""toggle_data"", ""toggle_wifi_calling""]",18.5,21.97505,24.97505,fdddd,"[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission"", ""data_mode_off"", ""unseat_sim_card""]",[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card[PERSONA:Easy],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""invalid_local_transfer_floor_18""]"
fdddd,51,[],fdddd,False,repair_all,transfer,repair_all,"[""grant_app_permission"", ""reboot_device"", ""reset_apn_settings"", ""set_network_mode_preference"", ""toggle_data"", ""toggle_roaming"", ""toggle_wifi_calling""]",18.5,22.45196,25.45196,fdddd,"[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission"", ""data_mode_off"", ""user_abroad_roaming_enabled_off""]",[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:Easy],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""invalid_local_transfer_floor_18""]"
fdddd,52,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,2.9126,5.912599999999999,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],[]
fdddd,53,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.10132,6.101319999999999,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],[]
fdddd,54,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.72551,6.72551,fdddd,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:Easy],[]
fdddd,55,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.76282,6.76282,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],[]
fdddd,56,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,4.2470799999999995,7.2470799999999995,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:Hard],[]
fdddd,57,[],fdddd,False,repair_all,transfer,repair_all,"[""grant_app_permission"", ""reboot_device"", ""reseat_sim_card"", ""reset_apn_settings"", ""toggle_data"", ""toggle_wifi_calling""]",18.0,21.504939999999998,24.504939999999998,fdddd,"[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_sms_permission"", ""data_mode_off"", ""unseat_sim_card""]",[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card[PERSONA:Hard],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""invalid_local_transfer_floor_18""]"
fdddd,58,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.50515,6.50515,fdddd,[],[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],[]
fdddd,59,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,4.20557,7.20557,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:Hard],[]
fdddd,60,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.75883,6.75883,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],[]
fdddd,61,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.11994,6.11994,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|unseat_sim_card[PERSONA:Hard],[]
fdddd,62,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,2.96258,5.96258,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:Hard],[]
fdddd,63,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.82064,6.82064,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],[]
fdddd,64,[],fdddd,False,repair_all,repair_subset,repair_all,"[""reboot_device"", ""reset_apn_settings"", ""toggle_wifi_calling""]",12.0,14.85947,17.85947,fdddd,"[""bad_wifi_calling"", ""break_apn_mms_setting""]",[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|unseat_sim_card[PERSONA:None],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
fdddd,65,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.51782,6.51782,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|user_abroad_roaming_enabled_off[PERSONA:None],[]
fdddd,66,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,2.88621,5.88621,fdddd,[],[mms_issue]bad_wifi_calling|break_apn_mms_setting|data_mode_off|unseat_sim_card[PERSONA:Easy],[]
fdddd,67,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.33428,6.33428,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|user_abroad_roaming_enabled_off[PERSONA:None],[]
fdddd,68,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.34709,6.34709,fdddd,[],[mms_issue]bad_wifi_calling|break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],[]
fdddd,69,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.17944,6.17944,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],[]
fdddd,70,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.75526,6.75526,fdddd,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],[]
fdddd,71,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.10272,6.10272,fdddd,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|user_abroad_roaming_enabled_off[PERSONA:Hard],[]
fdddd,72,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.66251,6.66251,fdddd,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|user_abroad_roaming_enabled_off[PERSONA:Easy],[]
fdddd,73,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.20989,6.20989,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|data_mode_off|unseat_sim_card[PERSONA:Easy],[]
fdddd,74,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,2.80816,5.80816,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:None],[]
fdddd,75,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.49675,6.4967500000000005,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|unseat_sim_card[PERSONA:Hard],[]
fdddd,76,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.00437,6.00437,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],[]
fdddd,77,[],fdddd,False,repair_all,transfer,repair_all,[],18.0,20.78429,23.78429,fdddd,"[""bad_wifi_calling"", ""break_apn_mms_setting"", ""data_mode_off"", ""unseat_sim_card"", ""user_abroad_roaming_enabled_off""]",[mms_issue]bad_wifi_calling|break_apn_mms_setting|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""invalid_local_transfer_floor_18""]"
fdddd,78,[],fdddd,False,repair_all,repair_subset,repair_all,"[""reboot_device"", ""reset_apn_settings"", ""toggle_wifi_calling""]",12.0,14.82958,17.82958,fdddd,"[""bad_wifi_calling"", ""break_apn_mms_setting""]",[mms_issue]bad_wifi_calling|break_apn_mms_setting|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:Hard],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
fdddd,79,[],fdddd,False,repair_all,transfer,repair_all,"[""reboot_device"", ""reseat_sim_card"", ""reset_apn_settings"", ""set_network_mode_preference"", ""toggle_airplane_mode"", ""toggle_roaming"", ""toggle_wifi_calling""]",18.5,22.856279999999998,25.856279999999998,fdddd,"[""airplane_mode_on"", ""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""unseat_sim_card"", ""user_abroad_roaming_enabled_off""]",[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""invalid_local_transfer_floor_18""]"
fdddd,80,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.57151,6.57151,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],[]
fdddd,81,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.41485,6.4148499999999995,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|data_mode_off|unseat_sim_card[PERSONA:Hard],[]
fdddd,82,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.6114100000000002,6.61141,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],[]
fdddd,83,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.60147,6.60147,fdddd,[],[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|user_abroad_roaming_enabled_off[PERSONA:None],[]
fdddd,84,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.59685,6.59685,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],[]
fdddd,85,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,4.27032,7.27032,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card[PERSONA:None],[]
fdddd,86,[],fdddd,False,repair_all,repair_subset,repair_all,"[""grant_app_permission"", ""reboot_device"", ""reset_apn_settings"", ""set_network_mode_preference"", ""toggle_wifi_calling""]",15.0,17.93486,20.93486,fdddd,"[""bad_network_preference"", ""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]",[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card[PERSONA:None],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
fdddd,87,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.02495,6.0249500000000005,fdddd,[],[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card[PERSONA:Easy],[]
